Kennung;Name;" je 100 der Bevölkerung1)
(18 - 64 Jahre,
insgesamt)";" je 100 der Bevölkerung1)
(ab 65 Jahre,
insgesamt)";" je 100 der Bevölkerung1)
(18 - 64 Jahre,
Deutsche)";" je 100 der Bevölkerung1)
(ab 65 Jahre,
Deutsche)";" je 100 der Bevölkerung1)
(18 - 64 Jahre,
Ausländer)";" je 100 der Bevölkerung1)
(ab 65 Jahre,
Ausländer)"
10040828;Kaulsdorf-Nord;0,85;0,59;.;.;.;.
10040829;Alt-Kaulsdorf;0,81;1,22;.;.;.;.
10040830;Kaulsdorf-Süd;0,41;0,29;.;.;.;.
10040931;Mahlsdorf-Nord;0,68;0,66;.;.;.;.
10040932;Alt-Mahlsdorf;0,75;0,78;.;.;.;.
10040933;Mahlsdorf-Süd;0,34;0,41;.;.;.;.
11010101;Dorf Malchow;x;x;x;x;x;x
11010102;Dorf Wartenberg;0,47;0,54;.;.;.;.
11010103;Dorf Falkenberg;0,73;1,32;.;.;.;.
11010204;Falkenberg Ost;1,97;8,90;2,37;7,37;0,72;37,31
11010205;Falkenberg West;1,99;6,15;2,35;5,20;0,78;28,89
11010206;Wartenberg Süd;1,77;6,28;2,23;5,87;0,32;20,00
11010207;Wartenberg Nord;1,52;6,01;1,65;4,92;1,13;40,00
11010308;Zingster Straße Ost;2,04;4,51;2,26;3,30;1,34;50,00
11010309;Zingster Straße West;2,93;7,84;3,10;5,30;2,36;71,64
11010310;Mühlengrund;2,09;2,24;2,40;1,83;0,93;23,33
11020411;Malchower Weg;1,48;1,46;1,81;1,21;0,56;14,29
11020412;Hauptstraße;2,40;3,68;2,79;2,87;0,88;46,88
11020513;Orankesee;0,61;1,67;.;.;.;.
11020514;Große-Leege-Straße;1,17;3,20;.;2,79;.;18,42
11020515;Landsberger Allee;1,43;3,22;1,66;2,44;0,77;41,89
11020516;Weiße Taube;0,42;0,94;.;.;.;.
11030617;Hohenschönhausener Str.;2,09;4,16;2,29;3,05;1,67;47,62
11030618;Fennpfuhl West;1,56;2,87;1,94;2,38;0,69;28,05
11030619;Fennpfuhl Ost;1,73;3,86;2,15;3,07;0,74;32,86
11030720;Herzbergstraße;2,59;9,71;5,77;8,63;0,24;18,06
11030721;Rüdigerstraße;1,14;4,76;1,34;3,83;0,50;29,46
11030824;Frankfurter Allee Süd;1,67;4,69;1,61;3,49;1,82;38,16
11040925;Victoriastadt;1,18;14,19;.;13,28;.;20,00
11040926;Weitlingstraße;1,07;5,90;1,24;4,40;0,45;47,89
11041022;Rosenfelder Ring;0,92;4,17;1,15;3,48;0,45;27,78
11041023;Gensinger Straße;1,38;4,47;1,40;3,12;1,32;50,00
11041027;Tierpark;1,19;5,85;.;4,40;.;54,17
11041128;Sewanstraße;1,71;3,30;2,01;2,17;0,92;48,40
11051229;Rummelsburg;0,52;1,69;0,49;.;0,64;.
11051330;Karlhorst West;0,68;2,40;.;.;.;.
11051331;Karlshorst Nord;0,49;1,17;0,49;0,96;0,48;14,29
11051332;Karlshorst Süd;0,47;1,84;.;.;.;.
12103115;Breitkopfbecken;2,53;11,76;2,91;10,06;1,68;23,24
12103116;Hausotterplatz;2,04;8,51;2,56;7,38;1,13;15,50
12103117;Letteplatz;2,14;10,99;2,75;8,06;1,16;23,30
12103218;Teichstraße;1,73;8,68;2,06;7,80;1,08;16,48
12103219;Schäfersee;1,54;6,21;2,09;5,05;0,51;16,15
12103220;Humboldtstraße;1,79;5,64;1,96;4,89;1,20;15,71
12214125;Waldidyll/Flughafensee;0,75;2,83;0,88;2,72;0,34;4,24
12214126;Tegel-Süd;2,10;9,53;2,65;8,23;0,72;22,50
12214421;Reinickes Hof;1,95;5,57;2,16;4,26;1,46;19,57
12214422;Klixstr.;2,02;14,57;2,29;12,36;1,66;26,34
12214423;Mellerbogen;1,26;5,67;1,49;4,58;0,75;18,42
12214424;Scharnweberstr.;1,83;9,68;2,30;7,64;1,14;21,37
12214527;Alt-Tegel;0,98;3,40;1,07;3,07;0,59;8,85
12214528;Tegeler Forst;x;x;x;x;x;x
12224229;Konradshöhe/Tegelort;0,32;0,85;.;0,71;.;6,00
12224230;Heiligensee;1,22;1,40;1,26;1,19;0,78;7,69
12231101;Hermsdorf;0,58;2,16;.;1,80;.;13,91
12231102;Frohnau;0,90;1,32;0,93;1,28;0,58;2,44
12301203;Wittenau-Süd;1,49;3,63;1,82;3,13;0,62;11,48
12301204;Wittenau-Nord;0,77;2,07;0,79;1,56;0,67;13,70
12301205;Waidmannslust;0,51;1,81;.;1,47;.;13,16
12301206;Lübars;0,32;1,51;.;.;.;.
12302107;Schorfheidestr.;0,86;2,13;0,76;1,42;1,13;9,86
12302108;Märkisches Zentrum;1,98;6,46;2,30;5,10;1,31;26,48
12302109;Treuenbrietzener Str.;2,65;10,41;3,31;8,42;1,41;30,61
12302110;Dannenwalder Weg;2,40;8,32;2,63;5,98;2,02;27,51
12302211;Lübarser Straße;1,32;2,59;.;.;.;.
12302212;Rollbergesiedlung;2,56;11,67;3,33;8,90;1,32;42,86
12304313;Borsigwalde;1,26;4,90;1,51;4,38;0,39;13,10
12304314;Ziekowstraße/Freie Scholle;1,38;4,05;1,47;3,67;0,65;15,05
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
