Kennung;Name;" je 100 der Bevölkerung1)
(insgesamt)";" je 100 der Bevölkerung1)
(18 - 64 Jahre,
insgesamt)";" je 100 der Bevölkerung1)
(ab 65 Jahre,
insgesamt)";" je 100 der Bevölkerung1)
(Deutsche insgesamt)";" je 100 der Bevölkerung1)
(18 - 64 Jahre,
Deutsche)";" je 100 der Bevölkerung1)
(ab 65 Jahre,
Deutsche)";" je 100 der Bevölkerung1)
(Ausländer insgesamt)";" je 100 der Bevölkerung1)
(18 - 64 Jahre,
Ausländer)";" je 100 der Bevölkerung1)
(ab 65 Jahre,
Ausländer)"
7060604;Marienfelde Süd;3,76;1,69;7,89;3,74;2,01;6,55;3,88;0,61;30,22
7070701;Kettinger Str./Schillerstr.;1,12;0,58;2,18;1,03;0,57;1,85;1,79;0,68;9,84
7070702;Alt-Lichtenrade/Töpch. Weg;1,95;1,20;3,56;1,88;1,28;3,06;2,54;0,64;15,38
7070703;John-Locke-Str.;3,06;1,86;5,55;3,10;2,08;4,85;2,88;0,99;17,56
7070704;Nahariyastr.;3,70;1,77;8,20;3,96;2,14;7,23;2,68;0,79;25,00
7070705;Franziusweg/ Rohrbachstr.;1,29;0,79;2,44;1,16;0,81;1,89;2,59;0,63;16,92
7070706;Horstwald. Str./Paplitzer Str.;1,12;0,73;1,86;1,15;0,81;1,72;0,85;0,30;7,69
7070707;Wittelsbacherstr.;0,63;0,52;0,81;0,69;0,59;0,85;0,00;0,00;0,00
8010115;Hasenheide;2,20;0,69;12,03;3,35;1,16;14,02;0,27;0,00;3,85
8010116;Wissmannstraße;5,39;3,01;24,71;6,15;4,33;20,71;4,38;1,25;30,14
8010117;Schillerpromenade;3,88;1,67;22,88;4,39;2,16;21,94;3,01;0,85;24,84
8010118;Silbersteinstraße;4,00;2,11;17,21;4,38;2,55;14,36;3,42;1,49;25,53
8010211;Flughafenstraße;3,98;1,76;20,90;4,12;1,85;20,10;3,78;1,64;22,22
8010212;Rollberg;6,15;3,03;20,68;6,57;3,68;18,84;5,51;2,06;24,12
8010213;Körnerpark;3,83;1,81;20,36;4,00;2,20;17,01;3,57;1,22;27,79
8010214;Glasower Straße;4,75;2,88;17,18;5,32;3,37;14,82;3,95;2,26;24,67
8010301;Reuterkiez;3,20;1,55;16,97;3,53;1,80;16,35;2,61;1,11;18,53
8010302;Bouchéstraße;4,23;1,92;13,63;4,32;2,26;11,49;3,97;0,98;26,04
8010303;Donaustraße;4,55;1,98;27,36;4,78;2,37;25,50;4,24;1,49;29,93
8010404;Rixdorf;3,77;2,02;18,01;3,93;2,32;15,86;3,50;1,52;22,51
8010405;Hertzbergplatz;3,47;1,64;15,09;3,41;1,78;11,67;3,60;1,39;29,59
8010406;Treptower Straße Nord;4,51;2,26;19,41;5,37;3,31;15,12;3,32;0,98;34,12
8010407;Gewerbegebiet Ederstraße;4,26;1,75;35,29;4,38;1,79;38,24;3,98;1,63;29,41
8010508;Weiße Siedlung;5,55;2,83;19,20;6,25;3,13;16,88;4,69;2,53;26,26
8010509;Schulenburgpark;7,00;3,52;21,29;7,41;4,19;17,62;6,21;2,43;36,36
8010510;Gewerbegeb. Köllnische Heide;4,51;3,48;15,63;6,56;6,29;8,33;2,58;1,08;37,50
8020619;Buschkrugallee Nord;4,24;2,98;9,89;5,02;4,08;7,93;2,85;1,36;21,46
8020620;Tempelhofer Weg;4,41;2,51;10,83;4,93;3,18;9,53;2,93;1,00;21,76
8020621;Mohriner Allee Nord;0,67;0,66;0,68;0,63;0,75;0,36;1,01;0,00;5,13
8020622;Parchimer Allee;2,98;1,45;6,96;2,80;1,46;5,84;4,02;1,40;23,15
8020623;Ortolanweg;5,27;4,62;6,50;4,68;4,14;5,57;8,48;6,57;17,86
8020624;Britzer Garten;2,89;1,13;9,69;2,70;1,37;7,69;3,80;0,00;21,88
8020625;Handwerker-Siedlung;2,59;1,29;5,50;2,44;1,30;4,54;3,28;1,26;16,67
8020726;Buckow West;2,08;0,99;4,55;1,85;0,97;3,64;3,59;1,12;17,73
8020727;Buckow Mitte;1,98;1,07;3,81;1,96;1,19;3,26;2,06;0,55;15,83
8020728;Buckow Ost;3,10;1,21;8,04;3,33;1,40;7,00;2,45;0,83;20,13
8030829;Gropiusstadt Nord;4,50;2,34;9,01;4,06;2,48;6,60;5,89;2,02;31,76
8030830;Gropiusstadt Süd;3,46;1,78;6,22;3,45;2,06;5,24;3,50;1,02;18,44
8030831;Gropiusstadt Ost;4,37;2,69;8,60;4,22;3,00;6,62;4,81;1,99;25,17
8040932;Goldhähnchenweg;2,55;1,68;3,87;2,67;1,89;3,64;1,79;0,96;13,04
8040933;Vogelviertel Süd;2,19;1,42;3,70;2,25;1,54;3,42;1,89;0,99;8,00
8040934;Vogelviertel Nord;2,34;1,33;4,82;2,20;1,50;3,67;3,06;0,63;20,93
8041035;Blumenviertel;1,00;0,69;1,65;0,74;0,60;0,99;2,29;1,03;9,58
8041036;Zittauer Straße;1,10;0,78;1,78;0,99;0,73;1,48;1,98;1,08;6,86
8041037;Alt-Rudow;1,99;0,95;4,20;1,83;1,00;3,36;2,90;0,74;17,83
8041038;Waßmannsdorfer Chaussee;1,19;0,64;2,29;1,20;0,64;2,24;1,10;0,67;3,19
8041039;Frauenviertel;2,26;1,68;4,20;2,14;1,64;3,73;3,13;1,97;10,64
8041040;Waltersdorfer Chaussee Ost;1,71;0,80;3,80;1,65;0,92;3,15;2,13;0,14;15,09
9010101;Elsenstr.;1,91;1,15;7,21;2,04;1,34;5,96;1,46;0,56;24,72
9010102;Am Treptower Park Nord;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
9010201;Am Treptower Park Süd;1,20;0,93;2,24;1,27;1,01;2,13;0,68;0,46;11,11
9010202;Köpenicker Landstraße;1,81;1,67;2,20;1,97;1,99;1,93;0,81;0,24;20,83
9010301;Baumschulenstraße;1,43;1,14;2,24;1,44;1,29;1,80;1,35;0,37;27,42
9010302;Späthsfelde;0,68;0,49;1,20;0,43;0,41;0,48;2,10;0,87;13,51
9010401;Johannisthal West;1,25;0,90;1,85;1,19;0,97;1,53;1,93;0,37;37,50
9010402;Johannisthal Ost;1,24;0,79;3,00;1,30;0,86;2,84;0,76;0,30;8,77
9020501;Oberschöneweide West;2,21;1,40;8,69;2,65;1,87;7,25;0,97;0,25;46,15
9020502;Oberschöneweide Ost;2,12;1,43;5,90;2,28;1,59;5,37;1,37;0,81;26,42
9020601;Schnellerstr;1,19;0,67;4,26;1,33;0,88;3,25;0,80;0,18;28,00
9020602;Oberspree;2,27;1,66;3,32;2,20;1,64;3,08;3,39;1,79;33,33
9020701;Adlershof West;0,44;0,26;2,16;0,59;0,34;2,24;0,12;0,12;0,00
9020702;Adlershof Ost;1,53;1,14;2,88;1,60;1,31;2,43;1,14;0,42;27,59
9020801;Spindlersfeld;2,22;2,04;2,89;2,38;2,27;2,79;0,70;0,37;7,14
9020802;Kölln. Vorstadt;2,24;1,64;4,69;2,23;1,89;3,38;2,29;0,57;47,50
9030901;Dorf Altglienicke;0,60;0,50;0,94;0,61;0,54;0,82;0,55;0,19;6,78
9030902;Wohngebiet II;3,47;2,12;8,11;3,48;2,24;7,23;3,42;1,46;32,43
9030903;Kölner Viertel;1,60;0,96;4,44;1,52;0,87;4,11;2,22;1,54;17,86
9031001;Bohnsdorf;0,89;0,74;1,31;0,89;0,79;1,13;0,90;0,37;16,22
9031101;Grünau;0,71;0,51;1,22;0,70;0,56;1,01;0,75;0,16;14,29
9031201;Karolinenhof;0,32;0,10;0,67;0,33;0,11;0,68;0,00;0,00;0,00
9031202;Schmöckw./Rauchf.-werder;0,50;0,32;0,95;0,53;0,34;0,97;0,00;0,00;0,00
9041301;Kietzer Feld/Nachtheide;2,05;1,77;2,52;2,03;1,85;2,30;2,69;0,57;36,36
9041302;Wendenschloß;0,38;0,10;0,97;0,40;0,10;0,99;0,00;0,00;0,00
9041401;Allende I;1,14;1,57;0,67;1,17;1,65;0,68;0,52;0,55;0,00
9041403;Allende II;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
9041501;Altstadt-Kietz;2,48;1,78;5,69;2,70;1,99;5,48;1,13;0,65;12,12
9041601;Müggelheim;0,46;0,32;0,79;0,48;0,34;0,80;0,00;0,00;0,00
9051701;Hirschgarten;1,24;1,44;0,85;1,18;1,52;0,60;1,92;0,81;23,08
9051702;Bölschestraße;0,94;0,80;1,20;0,91;0,81;1,09;1,45;0,68;14,71
9051801;Rahnsdorf/Hessenwinkel;0,76;0,64;1,02;0,76;0,68;0,92;0,74;0,19;10,71
9051901;Dammvorstadt;1,24;0,94;2,21;1,29;1,03;2,03;0,85;0,44;12,20
9052001;Köpenick-Nord;0,89;0,74;1,16;0,89;0,74;1,15;0,90;0,78;4,17
10010101;Marzahn-West;3,97;1,93;13,09;4,07;2,14;11,36;3,48;1,09;46,34
10010102;Havemannstr.;3,80;2,03;10,80;3,96;2,32;9,47;2,93;0,73;45,13
10010203;Gewerbegeb. Bitterfelder Str.;3,32;1,80;31,37;6,28;3,46;34,21;1,21;0,71;23,08
10010204;Wuhletalstr.;2,94;1,88;5,83;3,12;2,15;5,28;1,85;0,71;48,39
10010205;Marzahn-Ost;2,40;1,80;4,38;2,49;2,02;3,89;1,57;0,30;26,47
10010206;Ringkolonnaden;2,33;1,84;3,36;2,55;2,22;3,08;1,17;0,52;19,51
10010207;Marzahner Promenade;2,40;1,68;3,73;2,40;1,88;3,19;2,39;0,92;32,76
10010308;Marzahner Chaussee;1,12;0,95;1,58;1,04;1,05;1,02;1,46;0,61;20,00
10010309;Springpfuhl;2,77;2,21;3,82;2,84;2,53;3,31;2,33;0,97;42,37
10010310;Alt-Marzahn;1,88;1,33;2,91;1,87;1,51;2,40;1,99;0,60;37,66
10010311;Landsberger Tor;2,48;2,21;3,02;2,45;2,28;2,76;3,01;1,32;21,43
10020412;Alte Hellersdorfer Straße;3,83;2,44;12,65;4,03;2,78;10,53;3,06;1,25;46,51
10020413;Gut Hellersdorf;2,75;1,70;7,56;2,99;1,95;6,86;1,57;0,71;41,67
10020414;Helle Mitte;3,50;1,63;12,77;4,43;1,96;12,78;1,23;1,01;12,50
10020415;Hellersdorfer Promenade;3,98;2,33;12,50;4,74;3,28;10,01;2,21;0,54;47,27
10020416;Böhlener Str.;3,09;2,11;11,09;3,52;2,76;8,55;1,67;0,19;43,24
10020517;Adele-Sandrock-Str.;1,68;1,31;3,17;1,81;1,53;2,80;0,87;0,32;24,14
10020518;Schleipfuhl;2,25;1,38;7,47;2,45;1,67;6,28;1,36;0,28;42,11
10020519;Boulevard Kastanienallee;3,74;2,63;10,70;4,62;3,45;10,26;1,00;0,47;18,75
10020620;Kaulsdorf-Nord II;2,46;1,63;5,85;2,55;1,73;5,45;1,85;1,09;25,00
10020621;Gelbes Viertel;2,99;1,80;10,04;3,18;2,18;8,21;2,03;0,25;50,00
10020622;Kaulsdorf-Nord I;1,91;1,17;3,38;1,97;1,29;3,15;1,36;0,43;17,95
10020623;Rotes Viertel;2,61;1,88;4,25;2,53;1,93;3,77;3,72;1,43;34,62
10030724;Oberfeldstr.;0,42;0,40;0,44;0,45;0,49;0,40;0,13;0,00;7,69
10030725;Buckower Ring;2,99;2,24;5,03;3,13;2,49;4,63;1,97;0,88;24,24
10030726;Alt-Biesdorf;1,00;1,05;0,85;1,11;1,25;0,76;0,36;0,18;7,14
10030727;Biesdorf-Süd;0,77;0,85;0,61;0,77;0,90;0,50;0,82;0,21;16,67
10040828;Kaulsdorf-Nord;0,78;0,85;0,59;0,81;0,90;0,54;0,33;0,00;3,70
10040829;Alt-Kaulsdorf;0,92;0,81;1,22;0,93;0,90;1,01;0,83;0,00;28,57
10040830;Kaulsdorf-Süd;0,37;0,41;0,29;0,35;0,40;0,25;1,17;0,67;4,76
10040931;Mahlsdorf-Nord;0,68;0,68;0,66;0,69;0,72;0,62;0,30;0,00;7,14
10040932;Alt-Mahlsdorf;0,76;0,75;0,78;0,78;0,78;0,79;0,43;0,45;0,00
10040933;Mahlsdorf-Süd;0,36;0,34;0,41;0,36;0,35;0,38;0,23;0,00;5,26
11010101;Dorf Malchow;4,76;2,63;13,08;5,25;2,96;13,33;0,00;0,00;0,00
11010102;Dorf Wartenberg;0,49;0,47;0,54;0,46;0,43;0,54;1,16;1,22;0,00
11010103;Dorf Falkenberg;0,79;0,73;1,32;0,94;0,94;0,92;0,38;0,19;10,00
11010204;Falkenberg Ost;3,27;1,97;8,90;3,49;2,37;7,37;2,42;0,72;37,31
11010205;Falkenberg West;2,82;1,99;6,15;3,03;2,35;5,20;1,96;0,78;28,89
11010206;Wartenberg Süd;2,85;1,77;6,28;3,28;2,23;5,87;1,04;0,32;20,00
11010207;Wartenberg Nord;2,49;1,52;6,01;2,50;1,65;4,92;2,44;1,13;40,00
11010308;Zingster Straße Ost;2,73;2,04;4,51;2,60;2,26;3,30;3,34;1,34;50,00
11010309;Zingster Straße West;4,04;2,93;7,84;3,69;3,10;5,30;5,62;2,36;50,00
11010310;Mühlengrund;2,14;2,09;2,24;2,20;2,40;1,83;1,79;0,93;23,33
11020411;Malchower Weg;1,47;1,48;1,46;1,64;1,81;1,21;0,85;0,56;14,29
11020412;Hauptstraße;2,80;2,40;3,68;2,82;2,79;2,87;2,67;0,88;46,88
11020513;Orankesee;0,92;0,61;1,67;1,01;0,73;1,57;0,27;0,00;11,11
11020514;Große-Leege-Straße;1,52;1,17;3,20;1,76;1,49;2,79;0,50;0,06;18,42
11020515;Landsberger Allee;1,95;1,43;3,22;1,94;1,66;2,44;2,03;0,77;41,89
11020516;Weiße Taube;0,54;0,42;0,94;0,63;0,50;0,96;0,00;0,00;0,00
11030617;Hohenschönhausener Str.;2,77;2,09;4,16;2,60;2,29;3,05;3,40;1,67;47,62
11030618;Fennpfuhl West;1,96;1,56;2,87;2,10;1,94;2,38;1,41;0,69;28,05
11030619;Fennpfuhl Ost;2,32;1,73;3,86;2,47;2,15;3,07;1,80;0,74;32,86
11030720;Herzbergstraße;3,38;2,59;9,71;6,36;5,77;8,63;0,67;0,24;18,06
11030721;Rüdigerstraße;1,74;1,14;4,76;1,84;1,34;3,83;1,37;0,50;29,46
11030824;Frankfurter Allee Süd;2,47;1,67;4,69;2,24;1,61;3,49;3,16;1,82;38,16
11040925;Victoriastadt;1,76;1,18;14,19;1,95;1,38;13,28;0,96;0,33;20,00
11040926;Weitlingstraße;1,85;1,07;5,90;1,84;1,24;4,40;1,86;0,45;47,89
11041022;Rosenfelder Ring;1,70;0,92;4,17;1,88;1,15;3,48;1,17;0,45;27,78
11041023;Gensinger Straße;2,13;1,38;4,47;1,92;1,40;3,12;2,80;1,32;50,00
11041027;Tierpark;2,54;1,19;5,85;2,56;1,54;4,40;2,46;0,34;50,00
11041128;Sewanstraße;2,23;1,71;3,30;2,07;2,01;2,17;2,88;0,92;48,40
11051229;Rummelsburg;0,69;0,52;1,69;0,63;0,49;1,29;1,05;0,64;28,57
11051330;Karlhorst West;0,95;0,68;2,40;1,13;0,83;2,44;0,13;0,13;0,00
11051331;Karlshorst Nord;0,66;0,49;1,17;0,62;0,49;0,96;1,22;0,48;14,29
11051332;Karlshorst Süd;0,71;0,47;1,84;0,75;0,52;1,69;0,43;0,15;6,90
12103115;Breitkopfbecken;4,56;2,53;11,76;4,80;2,91;10,06;3,91;1,68;23,24
12103116;Hausotterplatz;3,20;2,04;8,51;3,65;2,56;7,38;2,23;1,13;15,50
12103117;Letteplatz;3,73;2,14;10,99;3,94;2,75;8,06;3,33;1,16;23,30
12103218;Teichstraße;3,29;1,73;8,68;3,68;2,06;7,80;2,32;1,08;16,48
12103219;Schäfersee;2,69;1,54;6,21;3,00;2,09;5,05;1,91;0,51;16,15
12103220;Humboldtstraße;2,76;1,79;5,64;2,80;1,96;4,89;2,58;1,20;15,71
12214125;Waldidyll/Flughafensee;1,29;0,75;2,83;1,43;0,88;2,72;0,70;0,34;4,24
12214126;Tegel-Süd;4,07;2,10;9,53;4,40;2,65;8,23;2,98;0,72;22,50
12214421;Reinickes Hof;2,78;1,95;5,57;2,75;2,16;4,26;2,86;1,46;19,57
12214422;Klixstr.;4,51;2,02;14,57;4,97;2,29;12,36;3,75;1,66;26,34
12214423;Mellerbogen;2,57;1,26;5,67;2,61;1,49;4,58;2,45;0,75;18,42
12214424;Scharnweberstr.;3,32;1,83;9,68;3,66;2,30;7,64;2,73;1,14;21,37
12214527;Alt-Tegel;1,81;0,98;3,40;1,83;1,07;3,07;1,74;0,59;8,85
12214528;Tegeler Forst;1,42;0,54;7,69;1,27;0,74;4,76;1,82;0,00;20,00
12224229;Konradshöhe/Tegelort;0,52;0,32;0,85;0,49;0,35;0,71;1,01;0,00;6,00
12224230;Heiligensee;1,28;1,22;1,40;1,23;1,26;1,19;2,03;0,78;7,69
12231101;Hermsdorf;1,16;0,58;2,16;1,09;0,63;1,80;2,10;0,11;13,91
12231102;Frohnau;1,06;0,90;1,32;1,07;0,93;1,28;0,93;0,58;2,44
12301203;Wittenau-Süd;2,13;1,49;3,63;2,29;1,82;3,13;1,56;0,62;11,48
12301204;Wittenau-Nord;1,18;0,77;2,07;1,06;0,79;1,56;2,09;0,67;13,70
12301205;Waidmannslust;0,91;0,51;1,81;0,86;0,55;1,47;1,43;0,26;13,16
12301206;Lübars;0,71;0,32;1,51;0,71;0,31;1,49;0,70;0,42;2,04
12302107;Schorfheidestr.;1,27;0,86;2,13;1,01;0,76;1,42;2,34;1,13;9,86
12302108;Märkisches Zentrum;3,28;1,98;6,46;3,30;2,30;5,10;3,21;1,31;26,48
12302109;Treuenbrietzener Str.;4,60;2,65;10,41;4,94;3,31;8,42;3,74;1,41;30,61
12302110;Dannenwalder Weg;3,71;2,40;8,32;3,60;2,63;5,98;3,94;2,02;27,51
12302211;Lübarser Straße;1,78;1,32;2,59;1,83;1,63;2,14;1,47;0,00;9,84
12302212;Rollbergesiedlung;4,69;2,56;11,67;5,07;3,33;8,90;3,87;1,32;42,86
12304313;Borsigwalde;2,13;1,26;4,90;2,31;1,51;4,38;1,36;0,39;13,10
12304314;Ziekowstraße/Freie Scholle;2,26;1,38;4,05;2,24;1,47;3,67;2,53;0,65;15,05
